,episode reward,episode,Method
0,-1211.5761108976485,1,DDPG-HER-reward1
1,-1224.2878519645399,2,DDPG-HER-reward1
2,-1296.870415559903,3,DDPG-HER-reward1
3,-1353.9953142619513,4,DDPG-HER-reward1
4,-1397.837158235984,5,DDPG-HER-reward1
5,-1430.0212087510015,6,DDPG-HER-reward1
6,-1461.2067489330432,7,DDPG-HER-reward1
7,-1374.2795239858674,8,DDPG-HER-reward1
8,-1368.4343421240058,9,DDPG-HER-reward1
9,-1377.353654089077,10,DDPG-HER-reward1
10,-1390.5364524912964,11,DDPG-HER-reward1
11,-1389.4589596280189,12,DDPG-HER-reward1
12,-1470.5016969515484,13,DDPG-HER-reward1
13,-1420.0088076186566,14,DDPG-HER-reward1
14,-1433.8507952014165,15,DDPG-HER-reward1
15,-1445.9956580749435,16,DDPG-HER-reward1
16,-1157.9412231015992,17,DDPG-HER-reward1
17,-1152.6112380088848,18,DDPG-HER-reward1
18,-1181.048510586555,19,DDPG-HER-reward1
19,-1162.8279295542786,20,DDPG-HER-reward1
20,-855.0499171512313,21,DDPG-HER-reward1
21,-1124.6730112511732,22,DDPG-HER-reward1
22,-1133.4251700883922,23,DDPG-HER-reward1
23,-1075.122594214037,24,DDPG-HER-reward1
24,-1080.6936378904406,25,DDPG-HER-reward1
25,-1132.1334951597785,26,DDPG-HER-reward1
26,-917.3954332336888,27,DDPG-HER-reward1
27,-918.0547815603163,28,DDPG-HER-reward1
28,-1003.2030771335484,29,DDPG-HER-reward1
29,-762.2088931450604,30,DDPG-HER-reward1
30,-786.8288848000689,31,DDPG-HER-reward1
31,-1035.0044632658578,32,DDPG-HER-reward1
32,-1030.4074439142316,33,DDPG-HER-reward1
33,-783.3850088094887,34,DDPG-HER-reward1
34,-754.5272606015642,35,DDPG-HER-reward1
35,-703.9461107449271,36,DDPG-HER-reward1
36,-424.35658186708434,37,DDPG-HER-reward1
37,-153.09658357372854,38,DDPG-HER-reward1
38,-407.9722225675012,39,DDPG-HER-reward1
39,-430.9144719589555,40,DDPG-HER-reward1
