,episode reward,episode,Method
0,-1055.1929581999068,1,DDPG
1,-988.8760734491788,2,DDPG
2,-985.3130414948115,3,DDPG
3,-1119.4596428677569,4,DDPG
4,-1274.129962414172,5,DDPG
5,-1392.9637894230198,6,DDPG
6,-1526.88006436404,7,DDPG
7,-1606.187426485745,8,DDPG
8,-1543.0950921063406,9,DDPG
9,-1472.4351322286386,10,DDPG
10,-1473.1036643734478,11,DDPG
11,-1412.1683195848716,12,DDPG
12,-1356.3953063251315,13,DDPG
13,-1374.880308874494,14,DDPG
14,-1298.0412639451374,15,DDPG
15,-1178.2254150584415,16,DDPG
16,-1084.9151072532516,17,DDPG
17,-898.5673232421692,18,DDPG
18,-674.931442751376,19,DDPG
19,-540.6373736306076,20,DDPG
20,-432.3321320718956,21,DDPG
21,-301.20414069977045,22,DDPG
22,-248.9873768063236,23,DDPG
23,-197.92644484889684,24,DDPG
24,-150.74868396588772,25,DDPG
25,-102.61177662373473,26,DDPG
26,-101.95350377008114,27,DDPG
27,-150.99860464732149,28,DDPG
28,-125.2447363187422,29,DDPG
29,-100.02320478254634,30,DDPG
30,-140.85612437094,31,DDPG
31,-141.55636106720698,32,DDPG
32,-141.11500563965453,33,DDPG
33,-195.47539300658826,34,DDPG
34,-244.79621634812457,35,DDPG
35,-240.46044456951827,36,DDPG
36,-263.1167274450769,37,DDPG
37,-240.14204994831192,38,DDPG
38,-210.5395347017458,39,DDPG
39,-184.46174958403145,40,DDPG
40,-146.19415758662382,41,DDPG
41,-253.5418350625036,42,DDPG
42,-275.9714995268133,43,DDPG
43,-275.91756907108663,44,DDPG
44,-479.7627695636226,45,DDPG
45,-479.711070105421,46,DDPG
46,-479.1501910185417,47,DDPG
47,-500.98912293658975,48,DDPG
48,-526.8561892750274,49,DDPG
49,-300.03013289627614,50,DDPG
50,-300.6692457894014,51,DDPG
51,-170.60319871783233,52,DDPG
52,-125.29544589652157,53,DDPG
53,-100.20729520491044,54,DDPG
54,-124.02118759072957,55,DDPG
55,-173.69149219519005,56,DDPG
56,-174.2189204717334,57,DDPG
57,-174.92453718228282,58,DDPG
58,-174.72418308396908,59,DDPG
59,-150.6949873518119,60,DDPG
60,-77.13138734817873,61,DDPG
61,-74.81296132713256,62,DDPG
62,-125.79889055421025,63,DDPG
63,-125.89348000106342,64,DDPG
64,-194.955235502284,65,DDPG
65,-254.49453780817657,66,DDPG
66,-256.4313257227043,67,DDPG
67,-203.2279541453508,68,DDPG
68,-200.6037515226688,69,DDPG
69,-153.93707691396176,70,DDPG
70,-117.26383121146357,71,DDPG
71,-116.5212712842685,72,DDPG
72,-117.3659660027467,73,DDPG
73,-119.11799283799593,74,DDPG
74,-144.38358035111258,75,DDPG
75,-144.18188914621246,76,DDPG
76,-165.2466465196396,77,DDPG
77,-166.09491553995366,78,DDPG
78,-141.62098783210698,79,DDPG
79,-93.7628969032775,80,DDPG
80,-117.92894522141592,81,DDPG
81,-95.68658420324655,82,DDPG
82,-95.69141313259048,83,DDPG
83,-119.60071345393536,84,DDPG
84,-189.36082960563243,85,DDPG
85,-192.58125210046225,86,DDPG
86,-219.19174295862163,87,DDPG
87,-218.53829357833087,88,DDPG
88,-219.90439777857142,89,DDPG
89,-150.22897693843768,90,DDPG
90,-124.21016861153866,91,DDPG
91,-74.85480839610716,92,DDPG
92,-98.627985959769,93,DDPG
93,-98.48797675090523,94,DDPG
94,-122.67125196938692,95,DDPG
95,-123.37922287096993,96,DDPG
96,-123.72230283221798,97,DDPG
